Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
F,Dopamine D1 receptor,6.581698708680254,341.37000000000006,5.2432200000000035,0.0,5.0,52.56,5.0,3.0
F,Dopamine D1 receptor,6.910094888560602,341.3700000000001,5.243220000000003,0.0,5.0,52.56,5.0,3.0
F,Dopamine D1 receptor,7.1938200260161125,355.39700000000005,5.551640000000004,0.0,5.0,52.56,5.0,3.0
F,Dopamine D1 receptor,5.26082336808927,343.34600000000006,4.033220000000003,0.0,7.0,78.34,5.0,3.0
F,Dopamine D1 receptor,6.97469413473523,356.38500000000005,4.946640000000004,0.0,6.0,65.45,5.0,3.0
F,Dopamine D1 receptor,6.85078088734462,356.38500000000005,4.946640000000004,0.0,6.0,65.45,5.0,3.0
F,Dopamine D1 receptor,7.481486060122112,356.38500000000005,4.946640000000004,0.0,6.0,65.45,5.0,3.0
F,Dopamine D1 receptor,8.522878745280337,450.4060000000002,4.746200000000005,2.0,3.0,60.77,3.0,6.0
F,Dopamine D1 receptor,7.119186407719209,436.37900000000013,4.356100000000004,2.0,3.0,60.77,3.0,5.0
F,Dopamine D1 receptor,7.856985199745905,422.3520000000001,4.270100000000004,2.0,3.0,60.77,3.0,4.0
A,Dopamine D1 receptor,7.892790030352131,450.4060000000002,4.746200000000005,2.0,3.0,60.77,3.0,6.0
F,Dopamine D1 receptor,8.638272163982407,450.4060000000002,4.746200000000005,2.0,3.0,60.77,3.0,6.0
F,Dopamine D1 receptor,7.785156151952302,444.3620000000002,4.443200000000004,1.0,4.0,58.36,4.0,4.0
F,Dopamine D1 receptor,6.764471553092451,458.3890000000001,4.926100000000004,1.0,4.0,58.36,4.0,5.0
F,Dopamine D1 receptor,6.542118103266008,470.4000000000001,5.241100000000005,1.0,4.0,58.36,5.0,5.0
F,Dopamine D1 receptor,7.73754891026957,474.38800000000015,3.898500000000003,2.0,5.0,78.59,4.0,6.0
F,Dopamine D1 receptor,7.090443970758825,409.91700000000014,3.7898000000000023,1.0,4.0,58.36,4.0,4.0
F,Dopamine D1 receptor,7.872895201635193,430.33500000000015,4.432800000000003,2.0,3.0,69.22,4.0,4.0
F,Dopamine D1 receptor,7.552841968657781,413.8800000000001,3.9185000000000025,2.0,3.0,69.22,4.0,4.0
F,Dopamine D1 receptor,6.896196279044043,397.42500000000007,3.4042000000000012,2.0,3.0,69.22,4.0,4.0
F,Dopamine D1 receptor,6.950781977329818,413.8800000000001,3.9185000000000025,2.0,3.0,69.22,4.0,4.0
F,Dopamine D1 receptor,6.267606240177032,413.8800000000001,3.9185000000000025,2.0,3.0,69.22,4.0,4.0
F,Dopamine D1 receptor,6.176590985107455,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
B,Dopamine D1 receptor,5.0,351.40200000000016,3.2893000000000017,0.0,5.0,55.84,4.0,2.0
B,Dopamine D1 receptor,7.3799681048737025,457.52600000000024,4.9649000000000045,0.0,6.0,65.07000000000001,5.0,4.0
B,Dopamine D1 receptor,5.0,393.4830000000002,4.412700000000004,0.0,5.0,55.84,4.0,3.0
B,Dopamine D1 receptor,9.419987887470576,379.4560000000002,3.851700000000003,0.0,5.0,55.84,4.0,3.0
B,Dopamine D1 receptor,7.840132152907433,365.4290000000002,3.5977200000000025,0.0,5.0,55.84,4.0,2.0
B,Dopamine D1 receptor,5.0,385.8470000000002,3.942700000000002,0.0,5.0,55.84,4.0,2.0
B,Dopamine D1 receptor,5.0,430.29800000000023,4.051800000000003,0.0,5.0,55.84,4.0,2.0
B,Dopamine D1 receptor,9.100015437450608,309.40900000000005,3.7643200000000023,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,6.599997654072044,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
B,Dopamine D1 receptor,7.430041181903406,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
B,Dopamine D1 receptor,5.0,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,5.0,374.2780000000002,4.2184000000000035,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,5.0,374.2780000000002,4.218400000000004,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,5.0,374.2780000000002,4.218400000000004,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,6.299997602857746,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
B,Dopamine D1 receptor,5.0,279.339,3.1674000000000015,0.0,3.0,21.700000000000003,5.0,0.0
B,Dopamine D1 receptor,8.100015437450608,355.43400000000014,3.4041000000000023,0.0,5.0,40.160000000000004,4.0,6.0
B,Dopamine D1 receptor,5.7299993321845495,295.382,3.630100000000003,2.0,3.0,43.7,4.0,2.0
B,Dopamine D1 receptor,5.300000202445418,379.4560000000002,4.069500000000003,0.0,5.0,55.839999999999996,4.0,4.0
B,Dopamine D1 receptor,5.710001024518514,307.3930000000001,3.947600000000003,0.0,3.0,21.700000000000003,5.0,2.0
B,Dopamine D1 receptor,6.2833290244398645,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
B,Dopamine D1 receptor,7.433444669116945,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
B,Dopamine D1 receptor,6.6076548446387955,323.4360000000001,4.0183000000000035,0.0,3.0,21.700000000000003,4.0,3.0
B,Dopamine D1 receptor,9.096910013008056,309.40900000000005,3.7643200000000023,0.0,3.0,21.700000000000003,4.0,2.0
B,Dopamine D1 receptor,9.42021640338319,379.4560000000002,3.851700000000003,0.0,5.0,55.84,4.0,3.0
